"","year","player_name","driving_distance","sg_putt","ranking","rounds","gir","top_10","putts_round"
"3","2022","Abraham Ancer","295.1","0.017","45","39","68.3","2","28.29"
"7","2022","Adam Scott","310.2","0.602","29","34","67.59","3","28.57"
"20","2022","Billy Horschel","294.8","0.68","9","34","71.3","3","28.6"
"29","2022","Brian Harman","290.9","0.26","68","44","69.38","2","29.17"
"33","2022","Brooks Koepka","309.9","0.134","69","39","66.01","2","28.71"
"36","2022","Cam Davis","302.8","-0.064","71","36","66.67","1","28.86"
"37","2022","Cameron Champ","320","-0.207","192","22","63.13","0","29.41"
"39","2022","Cameron Smith","297","1.048","15","26","72.65","4","27.73"
"41","2022","Cameron Young","319.6","0.332","36","43","65.56","2","28.08"
"45","2022","Charl Schwartzel","295.6","-1.321","210","23","59.18","0","29.52"
"53","2022","Christiaan Bezuidenhout","284.6","-0.004","94","43","65.56","0","28.43"
"54","2022","Collin Morikawa","302.4","0.424","6","26","72.22","5","28.27"
"55","2022","Corey Conners","300.6","0.039","40","42","74.13","1","29.77"
"57","2022","Daniel Berger","290.1","0.328","T13","21","69.44","2","28.28"
"59","2022","Danny Willett","295.9","-0.298","181","28","65.87","0","28.82"
"67","2022","Dustin Johnson","310.4","0.128","44","25","66.36","2","27.94"
"71","2022","Erik van Rooyen","298.6","-0.346","80","35","69.27","0","29.38"
"72","2022","Francesco Molinari","293.6","0.042","T130","29","62.84","1","28.41"
"73","2022","Garrick Higgo","299.9","-0.259","178","30","66.48","0","29.47"
"74","2022","Gary Woodland","311.9","0.318","56","33","67.51","3","28.97"
"79","2022","Harry Higgs","298.7","0.289","167","44","62.63","1","28.32"
"82","2022","Hideki Matsuyama","305.9","-0.2","3","40","72.08","4","28.8"
"83","2022","Hudson Swafford","306.9","-0.098","37","46","68.72","1","29.37"
"91","2022","Jason Kokrak","304.4","0.424","T34","35","67.53","1","28.5"
"96","2022","Joaquin Niemann","303.9","-0.106","7","37","69.28","3","28.21"
"99","2022","Jon Rahm","315.8","-0.115","23","34","75.74","4","29.8"
"102","2022","Jordan Spieth","308.6","-0.131","63","27","70.6","1","29.21"
"106","2022","Justin Rose","298","0.292","T38","31","68.65","1","28.11"
"107","2022","Justin Thomas","311.1","0.044","1","35","72.4","5","27.84"
"113","2022","Kevin Kisner","289.4","0.774","33","40","70.54","4","28.79"
"114","2022","Kevin Na","289.4","-0.057","43","22","68.52","1","28.78"
"123","2022","Louis Oosthuizen","299.9","-0.008","11","28","69.78","0","28.8"
"124","2022","Lucas Glover","295.5","-0.61","93","43","73","1","30.14"
"125","2022","Lucas Herbert","299.9","0.82","122","29","58.76","2","27.5"
"127","2022","Luke List","316.4","-0.835","21","43","72.92","3","29.6"
"128","2022","Mackenzie Hughes","296.2","0.73","41","39","67.28","2","28.22"
"129","2022","Marc Leishman","305.3","0.571","18","41","69.3","3","28.18"
"133","2022","Matt Fitzpatrick","292.2","0.539","42","29","67.74","4","28.54"
"138","2022","Matthew Wolff","317.3","0.464","89","34","65.77","2","28.68"
"141","2022","Max Homa","305.1","0.255","27","39","68.67","2","28.83"
"151","2022","Patrick Cantlay","304.4","0.535","T13","25","68.43","4","27.59"
"152","2022","Patrick Reed","285.3","0.447","T135","43","64.58","1","28.18"
"156","2022","Paul Casey","303.7","0.096","79","21","67.59","1","28.67"
"164","2022","Russell Henley","297.6","0.194","10","47","71.72","2","28.36"
"168","2022","Ryan Palmer","305.1","-0.71","108","33","69.53","0","30.33"
"170","2022","Sam Burns","308.1","0.385","16","38","71.64","5","28.45"
"176","2022","Scottie Scheffler","308.9","0.588","12","49","71.56","6","28.52"
"177","2022","Seamus Power","298.9","0.355","4","51","72.83","4","28.72"
"180","2022","Sepp Straka","300.1","0.295","125","55","68.38","2","29.31"
"181","2022","Sergio Garcia","303","0.456","22","25","68.43","1","28.55"
"184","2022","Shane Lowry","299.9","0.569","T38","23","70.28","1","28.65"
"185","2022","Si Woo Kim","304","-0.246","60","50","68.44","1","28.62"
"187","2022","Stewart Cink","305.4","-0.003","53","33","70.71","1","29.36"
"189","2022","Sungjae Im","302.3","0.331","8","47","71.34","4","28.55"
"190","2022","Talor Gooch","303","0.093","2","54","70.81","4","28.31"
"193","2022","Tom Hoge","297.2","-0.103","52","59","68.06","3","28.34"
"194","2022","Tommy Fleetwood","298.6","0.461","64","25","62.88","1","28.18"
"195","2022","Tony Finau","299.8","-0.779","115","31","70.24","0","29.18"
"200","2022","Tyrrell Hatton","300.8","1.168","25","26","64.9","2","27.32"
"202","2022","Viktor Hovland","306.2","0.282","19","37","71.9","4","28.74"
"204","2022","Webb Simpson","298.3","0.278","17","27","68.52","1","27.92"
"206","2022","Will Zalatoris","310.4","-0.3","30","41","72.07","3","29.17"
"209","2022","Xander Schauffele","308.8","0.215","5","33","69.63","1","28.4"
"210","2022","Zach Johnson","281.5","0.246","182","34","63.73","0","28.76"
"65","2022","Tiger Woods","299.4","-0.634","18","23","64.88","2","29.21"
"66","2022","Bubba Watson","291.3","-0.309","66","12","64.43","0","28.83"
"671","2022","Bryson DeChambeau","323.7","0.456","14","34","67.15","9","28.64"
"68","2022","Rory Mcllroy","320.1","0.247","9","18","64.51","2","28.28"
"69","2022","Thomas Pieters","308.1","-0.451","34","8","52.78","0","29.13"
